participant_id,agent_type,group,modality,voice,distance,word
20,0,0,2,1,3.255609,Aquarium
20,0,0,2,1,2.99049, TOO_NEAR
20,0,0,2,1,1.57505,Icecream
20,0,0,1,1,2.995554, TOO_NEAR
20,0,0,1,1,3.220983,Jetpack
20,0,0,1,1,2.994297, TOO_NEAR
20,0,0,1,1,3.08705,Clown
20,1,1,0,0,3.520932,Football
20,1,1,1,0,2.066233,Pizza
20,1,1,1,0,2.578323,Aquarium
20,1,1,2,0,2.869218,Zombie
20,1,1,2,0,4.161459,Football
20,1,1,0,1,3.831629,Football
20,1,1,1,1,3.862124,Vegas
20,1,1,1,1,3.872279,Vegas
20,1,1,2,1,3.392578,Orchestra
20,1,1,2,1,4.367765,Tent
21,1,0,0,0,0.9331393,Vegas
21,1,0,1,0,1.198673,Android
21,1,0,1,0,1.152567,Garlic
21,1,0,2,0,1.42032,Rabbit
21,1,0,2,0,1.436171,Zombie
21,1,0,0,1,2.994936, TOO_NEAR
21,1,0,0,1,3.121084,Clown
21,1,0,2,1,2.999445, TOO_NEAR
21,1,0,2,1,3.820795,Jetpack
21,1,0,2,1,3.52101,Aquarium
21,1,0,1,1,3.185103,Dream
21,1,0,1,1,2.993905, TOO_NEAR
21,1,0,1,1,3.431112,Brains
21,0,1,0,0,1.750132,Hotel
21,0,1,2,0,2.676052,Garlic
21,0,1,2,0,2.778593,Garlic
21,0,1,1,0,1.676503,Holiday
21,0,1,1,0,1.550868,Clown
21,0,1,0,1,2.998826, TOO_NEAR
21,0,1,0,1,3.620276,Hotel
21,0,1,1,1,3.080453,Aquarium
21,0,1,1,1,2.998262, TOO_NEAR
21,0,1,1,1,3.583162,Vegas
21,0,1,2,1,3.159557,Icecream
21,0,1,2,1,3.185194,Orchestra
21,0,1,2,1,2.999826, TOO_NEAR
21,0,1,2,1,2.99728, TOO_NEAR
22,1,0,0,0,1.176083,Tent
22,1,0,1,0,2.153341,Tent
22,1,0,1,0,2.569841,Aquarium
22,1,0,2,0,2.771422,Orchestra
22,1,0,2,0,2.74122,Vegas
22,1,0,0,1,2.997053, TOO_NEAR
22,1,0,0,1,2.968616,Icecream
22,1,0,2,1,2.993641, TOO_NEAR
22,1,0,2,1,3.500753,Brains
22,1,0,2,1,2.998147, TOO_NEAR
22,1,0,2,1,3.697955,Tent
22,1,0,1,1,2.999513, TOO_NEAR
22,1,0,1,1,3.668553,Clown
22,1,0,1,1,2.99445, TOO_NEAR
22,1,0,1,1,3.572571,Football
22,0,1,0,0,0.8542263,Pizza
22,0,1,1,0,2.835518,Android
22,0,1,1,0,3.255093,Seaside
22,0,1,2,0,3.290258,Pizza
22,0,1,2,0,3.299025,Pizza
22,0,1,0,1,2.995999, TOO_NEAR
22,0,1,0,1,3.422121,Icecream
22,0,1,2,1,2.99668, TOO_NEAR
22,0,1,2,1,3.328911,Zombie
22,0,1,2,1,2.999564, TOO_NEAR
22,0,1,2,1,3.631338,Vegas
22,0,1,1,1,3.474896,Rabbit
22,0,1,1,1,3.588211,Orchestra
23,1,0,0,0,1.473922,Football
23,1,0,1,0,1.466122,Seaside
23,1,0,1,0,1.508331,Android
23,1,0,2,0,1.427032,Icecream
23,1,0,2,0,1.422187,Brains
23,1,0,0,1,2.983631, TOO_NEAR
23,1,0,0,1,2.731801,Seaside
23,1,0,1,1,2.991309, TOO_NEAR
23,1,0,1,1,3.422593,Calculator
23,1,0,1,1,3.48731,Tent
23,1,0,2,1,2.997772, TOO_NEAR
23,1,0,2,1,3.528842,Garlic
23,1,0,2,1,3.463401,Dream
23,0,1,0,0,2.70992,Holiday
